"energy","liveness","speechiness","acousticness","instrumentalness","danceability","valence","uri"
0.132,0.112,0.0396,0.834,0.781,0.14,0.184,"spotify:track:75C1aTo6gTWCSzqu9AEgkh"
0.0241,0.0814,0.0434,0.996,0.986,0.0881,0.0311,"spotify:track:1ZSGpxA5iWozqbeK83zt3w"
0.448,0.159,0.216,0.358,0.906,0.146,0.0661,"spotify:track:3Gq0ySJSJEjV8raI6r1gFf"
0.291,0.115,0.204,0.621,0.8,0.151,0.037,"spotify:track:2Vfjt590yeWzfgvvUsPGuf"
0.097,0.1,0.0534,0.939,0.894,0.245,0.0791,"spotify:track:6OVGIvAMeq5LCl2ye1Zqbo"
0.137,0.087,0.0387,0.934,0.485,0.131,0.0485,"spotify:track:1ykbtFnlIjmIFnZ8j6wg6i"
0.531,0.0831,0.0458,0.32,0.267,0.471,0.0485,"spotify:track:2GkxGTv6AasoJ51AnYhH17"
0.826,0.115,0.0299,0.0587,0.929,0.563,0.213,"spotify:track:4Wa7wd2CFXal9Z8Ndx0S7Y"
0.545,0.0833,0.0467,0.0223,0.92,0.747,0.42,"spotify:track:5dxVa2HfMjJ6UNCPsXJOdD"
0.891,0.248,0.141,0.00242,0.0672,0.498,0.245,"spotify:track:3CQjMHCN0cdsSdbD1hoZE6"
0.739,0.0744,0.059,0.0127,0.905,0.69,0.382,"spotify:track:7vqcDtNvoJn5pXhktc8qe8"
0.741,0.112,0.0346,0.348,0.835,0.551,0.14,"spotify:track:3tef8nKKxm3caw4x5OfgCj"
0.719,0.324,0.106,0.00108,0.251,0.869,0.349,"spotify:track:0M3iTwiyhHj71S4P0gpGtV"
0.743,0.197,0.0505,0.000268,0.000998,0.396,0.374,"spotify:track:1Mh0zgXyFjd1BGmoGjdVKz"
0.774,0.432,0.0494,0.00244,0.826,0.658,0.58,"spotify:track:32C59HTnNUHVZMX6OxxFpC"
0.614,0.0996,0.0649,0.21,0.714,0.102,0.0379,"spotify:track:1HfJV18PHF2UQqh4TuySBJ"
0.544,0.0997,0.0372,0.459,0.43,0.708,0.492,"spotify:track:3jjMyq44OIjNgmpXLhpw7W"
0.78,0.128,0.0479,0.17,0.821,0.592,0.106,"spotify:track:1MMmKHMfsajQKx9fusCDn4"
0.761,0.112,0.0322,0.000971,5.95e-05,0.398,0.0383,"spotify:track:733uyTIwPCInHktZWeQ3IM"
0.932,0.345,0.0396,0.00292,0.534,0.558,0.0501,"spotify:track:3fmZhbUaoUBbYFkcTSmvPf"
0.719,0.649,0.041,0.216,0.904,0.619,0.246,"spotify:track:4oRbtetfRzeik7KJ3JGBhH"
0.0488,0.101,0.0376,0.967,0.877,0.333,0.0399,"spotify:track:5TuUePijuJjM1SiWgQsH4w"
0.424,0.137,0.0268,0.808,0.927,0.522,0.0967,"spotify:track:2C86tAWYM533cTDMAn6evg"
0.595,0.12,0.0318,0.467,0.676,0.566,0.154,"spotify:track:78UsvI13zH890N2IOWyuzi"
0.686,0.166,0.0288,0.253,0.923,0.434,0.154,"spotify:track:5ervET1vWonALYZ6Cq9vpA"
0.545,0.215,0.0279,0.921,0.939,0.496,0.172,"spotify:track:7waDrEBh96rPVL0tVc1gCx"
0.492,0.131,0.0253,0.654,0.912,0.446,0.361,"spotify:track:7ARIoCTpsczF0LTBOwnZy7"
0.337,0.112,0.0272,0.606,0.869,0.664,0.363,"spotify:track:6e5f1EI1koF7dZEq6B3Cty"
