"liveness","speechiness","acousticness","instrumentalness","danceability","clustering"
0.246,0.0346,0.000788,0.923,0.467,2
0.0959,0.0392,0.103,0.758,0.597,2
0.274,0.0314,0.363,0.636,0.639,2
0.0704,0.0258,0.0169,0.721,0.514,2
0.0926,0.0365,0.102,0.883,0.816,2
0.1,0.0419,0.669,0.000108,0.411,3
0.12,0.0549,0.000996,0.156,0.616,1
0.11,0.0537,0.183,0.928,0.648,2
0.108,0.0283,0.869,0.00768,0.262,3
0.17,0.0499,0.000609,0.877,0.436,2
0.103,0.0368,0.000106,0.64,0.444,2
0.262,0.033,0.297,0.0827,0.422,1
0.322,0.0396,0.000944,0.00875,0.567,1
0.111,0.0552,0.0438,0.000115,0.628,1
0.118,0.09,0.122,0.00000648,0.414,1
0.257,0.144,0.229,0,0.495,1
0.1,0.0377,0.433,0.00078,0.48,3
0.134,0.074,0.0635,0.000313,0.668,1
0.164,0.0657,0.00133,0.000433,0.53,1
0.18,0.046,0.0203,0.00000546,0.639,1
0.151,0.131,0.000783,0.000377,0.454,1
0.149,0.0275,0.0468,0.00475,0.681,1
0.121,0.0413,0.993,0.832,0.297,4
0.126,0.0304,0.709,0.918,0.343,4
0.0921,0.0323,0.961,0.857,0.358,4
0.224,0.0394,0.0367,0.871,0.259,5
0.0751,0.0375,0.979,0.912,0.269,4
0.0654,0.0366,0.99,0.841,0.404,4
0.109,0.0392,0.321,0.941,0.39,5
0.0968,0.0351,0.987,0.832,0.457,4
0.0827,0.0484,0.986,0.895,0.309,4
0.116,0.0341,0.94,0.874,0.246,4
0.0595,0.045,0.0626,0.862,0.37,5
0.107,0.0392,0.942,0.983,0.149,4
0.0998,0.0291,0.86,0.923,0.262,4
0.15,0.0346,0.989,0.923,0.208,4
0.151,0.03,0.74,0.899,0.391,4
0.133,0.0671,0.0218,0.823,0.305,5
0.223,0.0369,0.385,0.789,0.219,5
0.0951,0.0259,0.916,0.0114,0.431,3
0.0849,0.0361,0.523,0.904,0.155,4
0.108,0.08,0.0581,0.847,0.14,5
0.127,0.043,0.667,0.957,0.172,4
0.103,0.171,0.24,0.837,0.274,5
0.103,0.0995,0.229,0.922,0.358,5
0.111,0.0773,0.175,0.944,0.476,2
0.136,0.0414,0.625,0.934,0.107,4
0.114,0.134,0.175,0.76,0.387,5
0.0894,0.0377,0.803,0.91,0.189,4
0.189,0.0693,0.0944,0.973,0.464,2
0.0749,0.0541,0.827,0.924,0.239,4
0.108,0.0464,0.921,0.897,0.138,4
0.104,0.0404,0.95,0.932,0.13,4
0.0636,0.0829,0.396,0.855,0.345,5
0.345,0.0721,0.3,0.942,0.357,5
0.118,0.0443,0.931,0.811,0.148,4
0.127,0.043,0.808,0.953,0.17,4
0.167,0.105,0.246,0.0179,0.654,1
0.267,0.07,0.0561,0.957,0.0835,5
0.0998,0.0375,0.948,0.973,0.33,4
0.102,0.0456,0.964,0.655,0.167,4
0.0729,0.0362,0.927,0.964,0.132,4
0.124,0.0474,0.00619,0.904,0.149,5
0.351,0.0332,0.949,0.367,0.251,3
0.0747,0.0371,0.572,0.881,0.313,4
0.098,0.0293,0.605,0.922,0.251,4
0.117,0.0433,0.919,0.0255,0.251,3
0.0756,0.0424,0.97,0.819,0.183,4
0.117,0.0392,0.978,0.915,0.471,4
0.325,0.0459,0.968,0.76,0.133,4
0.228,0.0425,0.25,0.886,0.433,5
0.0511,0.0394,0.184,0.915,0.247,5
0.073,0.0468,0.932,0.942,0.12,4
0.371,0.0483,0.866,0.944,0.119,4
0.102,0.0333,0.452,0.95,0.162,5
0.0845,0.0393,0.966,0.763,0.435,4
0.117,0.0612,0.000236,0.542,0.0667,5
0.111,0.0404,0.724,0.97,0.118,4
0.112,0.0426,0.529,0.808,0.532,2
0.122,0.0466,0.053,0.94,0.265,5
0.197,0.0538,0.964,0.92,0.207,4
0.0475,0.181,0.939,0.298,0.404,3
0.267,0.07,0.0561,0.957,0.0835,5
0.0998,0.0375,0.948,0.973,0.33,4
0.102,0.0456,0.964,0.655,0.167,4
0.0729,0.0362,0.927,0.964,0.132,4
0.124,0.0474,0.00619,0.904,0.149,5
0.351,0.0332,0.949,0.367,0.251,3
0.0747,0.0371,0.572,0.881,0.313,4
0.098,0.0293,0.605,0.922,0.251,4
0.117,0.0433,0.919,0.0255,0.251,3
0.0756,0.0424,0.97,0.819,0.183,4
0.117,0.0392,0.978,0.915,0.471,4
0.325,0.0459,0.968,0.76,0.133,4
0.228,0.0425,0.25,0.886,0.433,5
0.0511,0.0394,0.184,0.915,0.247,5
0.073,0.0468,0.932,0.942,0.12,4
0.371,0.0483,0.866,0.944,0.119,4
0.115,0.0307,0.0733,0.935,0.559,2
0.0825,0.0262,0.243,0.81,0.51,2
0.107,0.0448,0.358,0.894,0.267,5
0.206,0.046,0.000011,0.917,0.534,2
0.604,0.891,0.178,0,0.574,1
0.185,0.0309,0.0749,0.933,0.592,2
0.307,0.0426,0.0623,0.795,0.566,2
0.112,0.0633,0.0071,0.898,0.728,2
0.109,0.0777,0.609,0.897,0.664,2
0.0949,0.045,0.00246,0.86,0.538,2
0.0841,0.0953,0.15,0.143,0.594,1
0.0809,0.0578,0.576,0.857,0.764,2
0.227,0.0391,0.515,0.0418,0.628,3
0.134,0.0302,0.0241,0.893,0.598,2
0.129,0.0266,0.134,0.765,0.749,2
0.0916,0.0371,0.958,0.00000557,0.77,3
0.0706,0.0546,0.006,0.872,0.444,2
0.495,0.273,0.586,0,0.469,3
0.0554,0.0512,0.00177,0.66,0.56,2
0.0951,0.0336,0.481,0.658,0.814,2
0.137,0.0357,0.848,0,0.472,3
0.396,0.0334,0.00898,0.811,0.764,2
0.165,0.0387,0.00304,0.899,0.549,2
0.0994,0.0648,0.079,0.968,0.585,2
0.208,0.031,0.00451,0.0182,0.724,1
0.0923,0.0374,0.284,0,0.653,1
0.112,0.0627,0.0439,0.00016,0.633,1
0.249,0.254,0.589,0.0000017,0.526,3
0.172,0.0527,0.302,0,0.569,1
0.181,0.0356,0.0253,0.0000804,0.582,1
0.825,0.13,0.0193,0,0.539,1
0.13,0.037,0.93,0.911,0.245,4
0.19,0.0639,0.0909,0.0000273,0.546,1
0.606,0.245,0.00275,0.00683,0.622,1
0.686,0.287,0.242,0,0.65,1
0.145,0.145,0.0185,0,0.282,1
0.517,0.103,0.198,0.00184,0.383,1
0.106,0.149,0.00169,0.000165,0.444,1
0.113,0.0475,0.295,0.000074,0.571,1
0.526,0.215,0.148,0.0111,0.607,1
0.854,0.344,0.262,0.000437,0.67,1
0.0696,0.0369,0.00543,0.871,0.552,2
0.0939,0.037,0.0000119,0.927,0.448,2
0.0699,0.0423,0.000235,0.892,0.581,2
0.173,0.0547,0.000268,0.903,0.536,2
0.167,0.0429,0.0008,0.514,0.53,2
0.0859,0.0328,0.0127,0.863,0.558,2
0.0957,0.0463,0.0000343,0.94,0.493,2
0.104,0.183,0.00314,0.923,0.429,2
0.0855,0.0452,0.000264,0.818,0.531,2
0.113,0.0457,0.000386,0.818,0.359,5
0.287,0.0506,0.000029,0.915,0.431,2
0.442,0.126,0.000318,0.174,0.475,1
0.11,0.0329,0.00011,0.912,0.42,2
0.0741,0.0322,0.0000817,0.938,0.489,2
0.286,0.0532,0.00107,0.917,0.481,2
0.11,0.0444,0.0000541,0.688,0.502,2
0.311,0.0544,0.000243,0.493,0.521,2
0.074,0.0833,0.2,0.906,0.407,5
0.047,0.041,0.209,0.866,0.681,2
0.243,0.0368,0.82,0.93,0.119,4
0.0533,0.326,0.0561,0.868,0.58,2
0.079,0.0387,0.0249,0.816,0.682,2
0.152,0.0411,0.16,0.919,0.671,2
0.0963,0.0452,0.268,0.876,0.728,2
0.113,0.0412,0.193,0.934,0.572,2
0.106,0.0587,0.724,0.92,0.773,4
0.104,0.0343,0.0229,0.675,0.673,2
0.377,0.307,0.655,0.269,0.628,3
0.227,0.0396,0.118,0.811,0.292,5
0.164,0.0488,0.106,0.836,0.744,2
0.302,0.0551,0.728,0.639,0.799,2
0.0837,0.0413,0.00837,0.897,0.508,2
0.113,0.0521,0.037,0.856,0.813,2
0.0855,0.0386,0.000701,0.0311,0.691,1
0.118,0.0391,0.00109,0.0814,0.667,1
0.415,0.0431,0.000324,0.901,0.623,2
0.461,0.0546,0.00833,0.00123,0.638,1
0.0677,0.155,0.000231,0.12,0.737,1
0.0853,0.0331,0.000459,0.16,0.653,1
0.527,0.128,0.0239,0.902,0.741,2
0.0394,0.0968,0.00113,0.126,0.695,1
0.329,0.0475,0.00152,0.024,0.707,1
0.0593,0.0507,0.000262,0.897,0.607,2
0.312,0.0357,0.00252,0.896,0.635,2
0.11,0.0778,0.00135,0.845,0.692,2
0.036,0.106,0.000116,0.884,0.763,2
0.519,0.0567,0.00725,0.848,0.417,2
0.0877,0.0764,0.00176,0.211,0.826,1
0.0784,0.043,0.00225,0.915,0.599,2
0.0911,0.0563,0.00133,0.735,0.648,2
0.254,0.0662,0.00111,0.055,0.615,1
0.0895,0.167,0.00203,0.825,0.801,2
0.34,0.0558,0.0317,0.173,0.732,1
0.112,0.0851,0.0159,0.835,0.729,2
0.171,0.0671,0.00502,0.766,0.613,2
0.0418,0.0592,0.00138,0.896,0.437,2
0.122,0.0308,0.766,0.00000177,0.48,3
0.0907,0.0456,0.454,0.986,0.152,5
0.197,0.0511,0.0000532,0.943,0.32,5
0.111,0.123,0.00166,0.788,0.64,2
0.0961,0.0467,0.00943,0.0365,0.456,1
0.119,0.149,0.075,0.723,0.451,2
0.123,0.0322,0.000936,0.832,0.633,2
0.0966,0.133,0.00000672,0.816,0.416,2
0.0918,0.208,0.00282,0.529,0.623,2
0.191,0.0651,0.000335,0.927,0.577,2
0.234,0.282,0.00207,0.623,0.673,2
0.0924,0.0881,0.00000617,0.859,0.394,5
0.25,0.033,0.00216,0.938,0.575,2
0.177,0.0297,0.638,0.00000425,0.513,3
0.171,0.0303,0.849,0.000102,0.477,3
0.111,0.0295,0.696,0.0000252,0.39,3
0.108,0.0289,0.416,0,0.456,3
0.101,0.028,0.486,0.000631,0.658,3
0.122,0.0308,0.766,0.00000177,0.48,3
0.103,0.0285,0.671,0.0723,0.528,3
0.141,0.0317,0.838,0,0.439,3
0.081,0.0286,0.729,0.00565,0.51,3
0.108,0.0341,0.939,0.0000543,0.296,3
0.123,0.0305,0.445,0,0.42,3
0.133,0.0295,0.867,0.000125,0.437,3
0.0656,0.0344,0.289,0.901,0.467,5
0.133,0.0438,0.00051,0.0252,0.502,1
0.397,0.0376,0.000469,0.857,0.539,2
0.198,0.0404,0.00972,0.00564,0.551,1
0.159,0.0331,0.00082,0.269,0.633,1
0.115,0.0409,0.000816,0.00663,0.593,1
0.0901,0.0349,0.000746,0.818,0.634,2
0.215,0.0603,0.000485,0.284,0.636,1
0.08,0.0867,0.0628,0.0485,0.789,1
0.406,0.0448,0.000237,0.643,0.631,2
0.333,0.0386,0.000201,0.395,0.592,1
0.141,0.0538,0.000389,0.153,0.606,1
0.177,0.0335,0.000867,0.000629,0.618,1
0.11,0.0488,0.97,0.597,0.111,4
0.0751,0.0736,0.0224,0.843,0.739,2
0.425,0.0417,0.154,0.841,0.0865,5
0.0966,0.0493,0.593,0.0211,0.748,3
0.0491,0.0446,0.0324,0.924,0.595,2
0.142,0.0568,0.011,0.879,0.734,2
0.187,0.101,0.111,0.882,0.793,2
0.105,0.113,0.419,0.656,0.833,2
0.109,0.0316,0.801,0.893,0.687,4
0.0905,0.0394,0.508,0.891,0.759,2
0.105,0.0758,0.029,0.895,0.914,2
0.0825,0.059,0.104,0.785,0.716,2
0.163,0.0752,0.000312,0.439,0.809,2
0.105,0.037,0.945,0.929,0.298,4
0.115,0.0629,0.00101,0.88,0.506,2
0.105,0.23,0.553,0.000397,0.771,3
0.119,0.0553,0.907,0.967,0.757,4
0.0751,0.0369,0.00508,0.537,0.71,2
0.117,0.0437,0.967,0.889,0.555,4
0.453,0.0425,0.521,0.909,0.789,2
0.128,0.0457,0.911,0.967,0.196,4
0.12,0.0315,0.98,0.913,0.461,4
0.101,0.0288,0.318,0.931,0.668,2
0.111,0.0772,0.0242,0.538,0.691,2
0.107,0.0364,0.34,0.922,0.754,2
0.0637,0.0371,0.627,0.866,0.249,4
0.77,0.387,0.00257,0.000551,0.932,1
0.252,0.0512,0.129,0.647,0.744,2
0.0419,0.0414,0.0168,0.0538,0.92,1
0.116,0.0569,0.0902,0.863,0.601,2
0.119,0.0415,0.5,0.423,0.779,3
0.135,0.111,0.13,0.000252,0.54,1
0.105,0.0895,0.289,0,0.752,1
0.112,0.0303,0.657,0.894,0.455,4
0.078,0.143,0.0118,0.696,0.66,2
0.37,0.0414,0.000566,0.417,0.576,1
0.109,0.0952,0.721,0.836,0.636,4
0.308,0.193,0.299,0.001,0.593,1
0.132,0.207,0.0102,0.000013,0.455,1
0.0506,0.0486,0.00378,0.0661,0.68,1
0.106,0.0557,0.00511,0.717,0.701,2
0.31,0.0615,0.123,0.00031,0.351,1
